"id.geno","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","haplo.qtl"
"BG1053",0,3,3,4,4,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2,"5"
"BG1053",0,3,3,4,4,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2,"8"
"C235",0,3,3,4,4,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,0,2,"5"
"C235",0,3,3,4,4,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,0,2,"8"
"CDC512-51",4,3,3,4,2,4,2,3,4,3,1,1,0,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2,"7"
"CDC512-51",4,3,3,4,2,4,2,3,4,3,1,1,0,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2,"9"
"Chaffa",2,3,3,2,4,4,2,3,4,3,1,1,0,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2,"6"
"Chaffa",2,3,3,2,4,4,2,3,4,3,1,1,0,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2,"22"
"DCP92-3",0,3,3,2,4,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,0,2,"6"
"DCP92-3",0,3,3,2,4,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,0,2,"10"
"HatTrick",4,3,3,4,4,4,2,3,4,3,1,1,0,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2,"3"
"HatTrick",4,3,3,4,4,4,2,3,4,3,1,1,0,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2,"5"
"HC1",4,3,3,0,2,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2,"9"
"HC1",4,3,3,0,2,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2,"21"
"HC5",2,3,3,2,4,4,2,3,4,3,1,1,0,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2,"6"
"HC5",2,3,3,2,4,4,2,3,4,3,1,1,0,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2,"22"
"ICC10466",0,3,3,2,0,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2,"6"
"ICC10466",0,3,3,2,0,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2,"10"
