"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"CDCLeader",4,1,0,4,4,2,4,1,2,2,3,4,2,0,0,0,0,0,0,0,2,2,2,4,1,2,2,4
"ICC14595",2,1,3,2,4,4,2,1,2,2,3,4,0,0,0,0,0,0,0,0,2,0,2,4,1,2,2,4
"ICC15294",0,1,0,4,0,4,4,1,2,2,3,4,0,0,0,0,0,0,1,1,2,2,2,4,1,2,2,2
"ICC20193",0,1,3,2,0,2,4,1,2,2,0,1,2,1,2,1,0,0,0,0,0,0,4,3,3,2,3,2
"ICC20194",2,1,3,2,4,4,4,1,2,2,3,1,2,0,0,0,4,3,3,0,2,2,2,4,3,4,3,2
"ICC2210",0,1,1,4,4,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"ICC6802",0,1,3,2,2,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"ICCV03402",4,1,1,0,0,0,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"ICCV10",0,1,1,4,4,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"ICCV95418",4,1,3,4,4,4,4,1,2,2,3,4,2,0,0,0,0,0,1,1,2,0,2,4,1,2,2,4
"ICCV96970",2,1,3,4,4,4,2,3,4,3,1,1,0,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"JG6",2,1,1,2,4,4,2,3,4,3,1,1,0,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"Pusa209",2,1,0,0,4,4,2,3,4,3,1,1,4,0,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"Pusa244",0,1,1,0,4,2,2,3,4,3,1,1,0,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"BL",4,3,3,4,4,4,2,0,0,2,3,0,2,1,0,0,0,0,0,2,2,2,2,4,0,0,0,0
"Genesis090",4,3,3,4,4,4,4,1,2,2,3,4,0,0,0,0,0,1,1,2,2,2,2,4,1,2,2,4
"GNG1292",4,3,3,2,2,4,4,1,2,2,3,4,0,0,0,0,0,0,0,2,2,2,2,4,1,2,2,4
"GNG1499",2,3,3,4,4,4,4,1,2,2,3,4,2,0,0,0,0,0,0,2,2,2,2,4,1,2,2,4
"GNG1581",4,3,3,4,4,4,2,0,0,2,3,4,0,0,0,0,2,0,1,2,2,0,2,4,1,2,0,0
"HK1",4,3,3,2,4,4,4,1,2,2,3,4,2,1,0,0,0,0,0,0,0,0,2,4,1,2,2,4
"HK2",2,3,3,4,4,4,4,1,2,2,3,4,0,0,0,0,0,0,0,2,2,2,2,4,1,2,0,0
"HK4",4,3,3,2,2,2,4,1,2,2,3,4,2,1,0,0,0,0,0,0,2,0,2,4,1,2,2,4
"ICC10399",4,3,3,4,0,4,4,1,2,0,0,0,0,3,3,3,4,3,3,2,0,0,4,3,0,4,3,2
"ICC10755",4,3,3,2,4,4,4,1,2,2,3,4,0,1,0,0,0,0,1,2,2,2,2,4,1,2,0,0
"ICC10885",4,3,3,4,4,4,4,1,2,2,3,4,4,0,0,0,0,0,1,2,2,2,2,4,1,2,2,4
"ICC11284",0,3,3,4,0,4,4,1,2,2,3,0,0,0,0,0,2,1,1,0,2,1,2,4,1,2,2,4
"ICC11378",0,3,3,4,4,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,2,4,0,4,3,2
"ICC11664",0,3,3,4,2,4,2,3,4,3,1,1,2,3,3,3,4,3,3,0,2,1,4,3,3,4,3,2
"ICC11879",4,3,3,4,4,4,4,1,2,2,3,4,0,0,0,0,0,0,0,2,2,2,2,4,1,2,2,2
"ICC11903",0,3,3,4,2,4,4,1,2,2,3,4,0,0,0,0,0,0,0,2,2,2,2,4,1,2,0,0
"ICC12324",4,3,3,4,4,4,4,1,2,2,3,0,0,3,3,3,2,1,1,2,2,0,2,0,1,0,3,2
"ICC12328",4,3,3,4,4,4,4,1,2,2,3,4,4,0,0,0,0,0,0,0,2,2,2,4,1,2,2,2
"ICC12379",2,3,3,0,2,4,4,1,2,2,3,4,2,0,0,0,0,0,0,2,2,2,2,4,1,2,2,4
"ICC12537",2,3,3,4,2,4,4,1,2,2,3,4,2,0,0,0,2,1,1,1,0,1,2,4,1,2,2,4
"ICC12654",0,3,3,0,4,4,4,1,2,2,3,4,0,0,0,0,0,0,0,2,2,2,2,4,1,2,2,4
"ICC12726",2,3,3,4,4,4,4,1,2,2,3,4,4,0,0,0,2,1,1,2,2,2,2,4,1,2,2,4
"ICC12824",4,3,3,4,4,4,4,1,2,2,3,4,2,0,0,0,0,0,0,0,2,0,2,4,1,2,0,2
"ICC12851",4,3,3,2,2,2,4,1,2,2,3,4,2,0,0,0,0,0,0,2,2,2,2,4,1,2,0,2
"ICC12866",4,3,3,4,2,4,4,1,2,2,3,4,0,0,0,0,0,0,0,0,2,2,2,4,1,2,2,4
"ICC12928",4,3,3,4,4,4,4,1,2,2,3,4,0,1,0,0,2,1,1,2,2,2,2,4,1,2,2,4
"ICC12947",4,3,1,2,0,4,4,1,2,2,3,4,0,1,2,1,2,1,1,0,0,0,2,4,1,2,2,4
"ICC13124",0,3,3,2,0,4,4,1,2,2,3,4,0,1,0,0,2,1,1,2,2,2,2,4,1,2,2,2
"ICC13187",2,3,3,2,2,4,4,1,2,2,3,4,4,1,0,0,0,0,0,2,2,2,2,4,1,2,2,4
"ICC13283",0,3,3,2,2,4,4,1,2,2,3,0,4,0,2,1,4,3,3,2,4,1,2,4,1,2,0,2
"ICC13523",0,3,3,4,4,4,4,1,2,2,3,4,2,0,0,0,2,1,1,0,2,0,2,4,1,2,2,2
"ICC13719",4,3,3,2,4,4,4,1,2,2,3,4,2,1,0,0,0,0,0,2,2,2,2,4,1,2,0,0
"ICC13863",4,3,3,2,4,4,4,1,2,2,3,4,0,0,0,0,0,0,1,1,2,0,2,4,1,2,0,0
"ICC13892",0,3,3,4,4,4,4,1,2,2,3,0,2,1,0,0,0,0,0,2,2,2,2,4,1,2,2,4
"ICC14051",0,3,3,4,2,2,4,1,2,0,3,4,2,0,0,0,0,0,0,0,2,0,2,4,1,2,0,2
"ICC14077",0,3,0,4,2,4,4,1,2,2,3,4,4,0,0,0,2,1,1,2,2,2,2,4,1,2,2,4
"ICC14199",4,3,3,2,2,4,4,1,2,2,3,4,2,0,0,0,0,0,0,1,2,0,2,4,1,2,0,0
"ICC14831",2,3,3,0,4,4,4,1,2,2,3,4,2,1,0,0,0,0,0,0,0,0,2,4,1,2,2,4
"ICC15248",2,3,3,4,4,4,4,1,2,2,3,4,4,0,0,0,0,0,0,2,2,2,2,4,1,2,2,4
"ICC15333",0,3,3,4,4,4,4,1,2,2,3,4,2,1,2,1,2,1,1,2,2,0,2,4,1,2,2,4
"ICC15406",0,3,3,4,0,4,4,1,2,2,3,4,2,0,0,0,0,0,0,0,0,0,2,4,1,2,2,2
"ICC15435",2,3,3,4,0,4,4,1,2,2,0,4,4,0,0,0,0,0,0,0,2,0,2,4,1,0,0,0
"ICC15510",2,3,1,4,4,4,2,3,4,3,1,1,2,3,0,3,4,3,3,0,0,0,4,3,3,4,3,2
"ICC15518",0,3,1,4,4,4,2,1,2,2,3,4,4,0,0,0,0,0,0,2,2,2,2,4,1,2,2,2
"ICC15567",0,3,3,2,4,2,2,3,4,3,1,1,0,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"ICC15697",4,3,3,4,4,4,4,1,2,2,3,4,0,0,0,0,2,1,1,2,2,2,2,4,1,2,2,4
"ICC15762",0,3,3,0,0,0,4,1,2,2,0,4,2,3,0,0,4,3,3,0,0,0,4,3,3,4,3,2
"ICC15785",4,3,3,4,4,4,4,1,2,2,3,4,4,0,0,0,0,0,1,0,2,2,2,4,1,2,2,4
"ICC15802",0,3,3,2,4,4,2,1,2,2,3,4,0,1,2,1,2,1,1,2,2,2,2,4,1,2,2,4
"ICC16654",2,3,3,2,4,4,4,1,2,2,3,4,0,0,0,0,0,1,1,0,2,1,2,4,1,2,0,0
"ICC18699",0,3,3,2,4,4,4,1,2,2,3,4,4,0,0,0,0,0,0,0,2,0,2,4,1,2,2,4
"ICC18720",2,3,3,4,4,0,4,1,2,2,3,4,2,0,0,0,0,0,0,0,2,0,2,4,1,2,2,2
"ICC18828",0,3,3,4,4,4,4,1,2,2,3,4,0,0,0,0,0,0,0,0,2,0,2,4,1,2,2,4
"ICC18839",0,3,3,0,0,4,2,1,2,2,3,4,0,1,0,0,0,0,0,2,2,2,2,4,1,2,2,4
"ICC18847",2,3,3,2,4,4,4,1,2,2,0,4,0,0,2,1,2,1,1,2,2,0,2,4,1,2,2,4
"ICC18884",4,3,3,4,4,4,4,1,2,2,3,4,2,0,0,0,0,0,0,0,2,0,2,4,1,2,2,4
"ICC18912",4,3,3,2,4,4,4,1,2,2,3,4,4,1,0,0,0,0,0,0,2,0,2,4,1,2,2,4
"ICC19034",2,3,3,4,2,4,2,0,2,3,1,1,4,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"ICC19095",2,3,3,2,4,4,4,1,2,2,3,4,4,0,0,0,0,0,0,2,2,2,2,4,1,2,2,4
"ICC19165",4,3,3,4,4,4,4,1,2,2,3,4,2,0,0,0,0,0,0,0,0,0,2,4,1,2,0,2
"ICC20174",2,3,1,0,4,2,2,3,4,2,1,1,2,1,3,1,4,3,3,1,2,1,2,3,1,2,3,2
"ICC20192",2,3,1,2,4,2,2,3,4,2,1,0,2,1,3,1,4,3,3,2,2,2,2,3,1,4,3,2
"ICC20259",2,3,3,4,4,4,4,1,2,2,0,4,4,1,0,0,0,0,0,0,2,0,2,4,1,2,2,4
"ICC20260",4,3,3,2,2,4,4,1,2,2,3,4,2,0,0,0,0,0,0,2,2,2,2,4,1,2,2,4
"ICC20262",2,3,3,0,4,2,4,1,2,2,3,0,0,0,0,0,0,0,1,2,2,2,2,4,1,2,2,0
"ICC20263",4,3,3,2,0,4,4,1,2,2,3,4,2,0,2,3,4,3,3,0,0,0,4,3,0,4,3,2
"ICC20264",0,3,3,0,2,4,4,1,2,2,3,4,0,0,0,0,0,1,1,1,0,1,2,4,1,2,0,0
"ICC20266",0,3,1,0,2,4,4,1,2,2,3,4,2,0,0,0,0,0,0,2,2,2,2,4,1,2,2,4
"ICC20267",4,3,3,0,4,4,4,1,2,2,3,4,0,0,0,0,0,0,0,2,2,2,2,4,1,2,2,4
"ICC2482",0,3,3,2,4,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,2,1,4,3,3,4,3,2
"ICC2580",4,3,3,0,2,4,2,3,4,3,1,1,2,3,2,1,2,0,1,2,4,1,4,3,3,2,0,2
"ICC2679",4,3,0,0,2,4,2,3,2,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"ICC3325",4,3,3,0,2,4,2,3,4,3,1,1,0,3,3,3,4,3,3,2,4,1,4,4,0,2,3,2
"ICC3421",0,3,3,2,4,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,2,0,3,4,3,2
"ICC4182",0,3,3,0,4,4,2,3,4,3,1,1,2,3,0,3,4,3,3,2,4,1,2,3,3,4,3,2
"ICC440",4,3,3,0,2,2,2,0,2,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"ICC4418",2,3,3,4,4,4,4,1,2,2,3,4,2,0,2,3,4,3,3,0,0,0,4,3,1,4,3,2
"ICC4495",0,3,3,2,2,2,2,1,2,2,3,4,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0
"ICC456",4,3,3,4,0,4,2,3,4,2,1,1,2,1,2,3,4,3,3,2,4,1,4,3,3,4,3,2
"ICC4639",0,3,3,4,4,4,4,1,2,2,3,4,4,0,0,0,0,0,0,2,2,2,2,4,1,2,0,0
