"hap.id","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"haplo 1",4,1,3,4,2,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"haplo 2",2,1,3,2,4,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"haplo 3",4,3,3,4,4,4,2,3,4,3,1,1,4,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"haplo 4",4,3,3,2,2,4,2,1,2,3,1,1,4,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"haplo 5",4,3,3,4,4,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"haplo 6",2,3,3,2,4,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"haplo 7",4,3,3,4,2,4,2,3,4,3,1,1,4,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"haplo 8",2,3,3,4,4,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"haplo 9",4,3,3,4,2,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"haplo 10",4,3,3,2,4,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"haplo 11",2,3,3,4,4,2,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"haplo 12",4,3,1,2,4,4,2,3,4,3,1,1,4,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"haplo 13",4,3,3,4,4,2,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"haplo 14",4,3,3,4,4,4,2,3,2,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"haplo 15",4,3,1,2,4,2,2,3,4,2,1,1,2,1,3,1,4,3,3,2,2,2,2,3,1,4,3,2
"haplo 16",2,3,3,4,4,2,2,3,4,2,1,1,2,1,3,1,4,3,3,2,2,2,4,3,3,4,3,2
"haplo 17",2,3,3,4,2,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"haplo 18",2,3,3,2,2,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"haplo 19",2,3,1,2,4,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"haplo 20",4,3,1,2,4,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"haplo 21",4,3,3,2,2,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"haplo 22",2,3,3,2,4,4,2,3,4,3,1,1,4,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"haplo 23",4,3,1,4,2,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
"haplo 24",4,3,3,4,4,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,1,4,3,2
"haplo 25",4,3,1,4,4,4,2,3,4,3,1,1,2,3,3,3,4,3,3,2,4,1,4,3,3,4,3,2
